Id,SalePrice
1461,131753.37542507754
1462,155523.5365741426
1463,176964.93210117356
1464,195741.84972386356
1465,221912.08870217274
1466,195440.98214578317
1467,165310.683722131
1468,182454.3419838539
1469,202930.66764771246
1470,101974.74635329004
1471,206347.7260913283
1472,137187.2134428661
1473,123488.92140884796
1474,177328.11986881806
1475,155086.7589080147
1476,324753.9390608469
1477,262820.05741028726
1478,285563.8910263182
1479,266983.86184580874
1480,357463.20492833643
1481,299240.68756409106
1482,230266.82555338318
1483,179582.4148778953
1484,190996.49254349447
1485,201410.08299089945
1486,226354.6162715755
1487,323839.5855338138
1488,266733.42789437214
1489,213254.15348215424
1490,194378.10420801592
1491,223015.41522613986
1492,106750.07953477214
1493,179117.06771445138
1494,299624.8613441635
1495,291434.97433635197
1496,216193.11216149307
1497,237562.2147624462
1498,199136.48222884623
1499,199136.48222884623
1500,179678.39480991318
1501,191813.4700334959
1502,191949.16329173144
1503,255656.25662964245
1504,263375.05291312805
1505,220782.58505272385
1506,200733.7686553897
1507,258948.19679320458
1508,218410.06047356286
1509,186563.88942474168
1510,140212.01752221302
1511,139524.5349611306
1512,159986.94524230072
1513,193023.5011777446
1514,137045.63558991023
1515,207397.0436991147
1516,175654.2145716105
1517,147249.75040208042
1518,163044.77562171675
1519,220280.33113245532
1520,121567.30243387178
1521,125843.53868316382
1522,179270.31219167233
1523,109680.33559307696
1524,117343.47271565654
1525,110360.9016008892
1526,110203.10938354653
1527,98287.15973877223
1528,144660.2599121698
1529,133947.38656338045
1530,167420.38578583612
1531,114015.68028309703
1532,77620.77567316519
1533,147660.75735987537
1534,138903.18383204602
1535,143616.74743121525
1536,113823.15430130275
1537,49696.13442356442
1538,190381.10797975652
1539,250731.1053341893
1540,148466.0306203614
1541,168653.15646374074
1542,149971.27849956485
1543,208857.33587050188
1544,59128.49799016744
1545,133093.58549730398
1546,155108.81019315353
1547,129783.66878550348
1548,157348.149854445
1549,125599.48521069466
1550,144160.14402885706
1551,125662.03743046055
1552,146016.27404744492
1553,133943.6564248109
1554,133422.26903255668
1555,156062.23730609694
1556,103713.5092614338
1557,103588.27809142576
1558,119268.3316019109
1559,108590.29007314345
1560,144185.36842971004
1561,126394.40901310294
1562,115635.9175749215
1563,108367.90534304283
1564,160970.495229108
1565,152308.75316585854
1566,219022.60537106858
1567,72866.31924529241
1568,213916.36896061318
1569,106169.73962900709
1570,144874.3562036862
1571,111317.34896664975
1572,126288.99080788365
1573,224556.7999886408
1574,145956.44334547996
1575,210421.84070444046
1576,236034.55171029782
1577,207513.1451198038
1578,150843.63547537377
1579,142366.28778749547
1580,224137.81701351155
1581,122292.74441418584
1582,120711.17240776835
1583,285979.15279786545
1584,254878.35925195232
1585,150589.9805864412
1586,37276.6284393887
1587,110597.07274640119
1588,129948.57986694234
1589,104977.82980353468
1590,150675.08644299916
1591,71334.7012258364
1592,116965.07191934441
1593,125799.10440096694
1594,176054.77935357127
1595,125769.09474262639
1596,220026.7346554633
1597,187276.64372371117
1598,221103.08502786112
1599,211629.45879458165
1600,216472.6212965371
1601,6394.476417095517
1602,146459.9141409201
1603,66104.38236391847
1604,251037.6936750454
1605,273949.2621987937
1606,168953.31975147998
1607,230359.9788240463
1608,217274.25771409585
1609,201253.40835051425
1610,162365.3306628189
1611,142575.92545423994
1612,173370.12394464572
1613,169460.74036025404
1614,112469.83006424374
1615,84343.02463281697
1616,84343.02463281697
1617,101258.96563059477
1618,112746.24901439477
1619,123090.59001671764
1620,225783.45685750418
1621,157193.38778884575
1622,142144.1313895023
1623,253468.6204782048
1624,214515.97748268204
1625,138233.82968908863
1626,179046.0019092819
1627,195622.15394988994
1628,291803.83921612473
1629,214159.5049440649
1630,305166.84140161495
1631,236280.74016408448
1632,252009.068856898
1633,199437.2431178043
1634,196103.74976075854
1635,185129.8461968639
1636,166445.51398070029
1637,193839.4470560065
1638,240897.20465839695
1639,193303.3391343806
1640,275265.88602454023
1641,195335.1773238174
1642,244049.04240727017
1643,264820.51497837726
1644,260224.26502708427
1645,166469.9486573109
1646,160066.09254380348
1647,187763.17205580923
1648,137641.75854474935
1649,121692.97534449767
1650,102235.71503385792
1651,102612.56578826038
1652,137940.91495167103
1653,138920.33604249707
1654,182155.62359447047
1655,176625.48923524946
1656,178081.82137762298
1657,182909.3251032754
1658,178458.67213202541
1659,156090.61717853142
1660,143856.46991164936
1661,352328.24188965163
1662,356954.3354141889
1663,316776.2994768763
1664,371557.1916386426
1665,295014.59359958954
1666,279853.2498943993
1667,307535.8538606055
1668,299256.25663698744
1669,274973.0931198947
1670,300547.5644774607
1671,234726.3490891327
1672,337707.9355864927
1673,303399.82084973785
1674,267308.8529029932
1675,184819.84386330438
1676,190852.32646017557
1677,207722.87836930424
1678,369293.7058933291
1679,290926.8852757193
1680,295538.64398043265
1681,261806.81511725136
1682,260081.30813915274
1683,208897.97841042597
1684,205029.5859966346
1685,186643.0045654667
1686,194644.75617536463
1687,202873.99456951243
